source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
80,80,1333.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.,,686.4755554199219,401.8126392364502,658.3482142857142,419.10714285714283,525.2678571428571,340.44642857142856,266.1607142857143,157.32142857142856
81,81,1350.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,679.4804534912109,401.23003005981445,654.0178571428571,422.5,518.75,346.25,270.5357142857143,152.49999999999997
82,82,1366.6666666666667,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,,681.5874481201172,396.5829486846924,649.6875,425.8928571428571,512.2321428571429,352.05357142857144,274.9107142857143,147.6785714285714
83,83,1383.3333333333333,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,,689.1985244750977,412.5863723754883,645.3571428571429,429.28571428571433,505.7142857142857,357.8571428571429,279.2857142857143,142.85714285714283
84,84,1400.0,LOW_POSE_CONFIDENCE,Frame/core landmark confidence below threshold.,,678.2841339111328,421.7318172454834,641.0267857142857,432.67857142857144,499.19642857142856,363.6607142857143,283.6607142857143,138.03571428571428
85,85,1416.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,691.5699768066406,403.8254585266113,636.6964285714286,436.07142857142856,492.67857142857144,369.4642857142857,288.0357142857143,133.2142857142857
86,86,1433.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,686.7778549194336,421.2988166809082,632.3660714285714,439.46428571428567,486.1607142857143,375.2678571428571,292.4107142857143,128.3928571428571
87,87,1450.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,681.721809387207,419.3599967956543,628.0357142857142,442.85714285714283,479.6428571428571,381.07142857142856,296.78571428571433,123.57142857142856
88,88,1466.6666666666663,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,684.2051315307617,426.58598709106445,623.7053571428571,446.25,473.125,386.875,301.16071428571433,118.74999999999999
89,89,1483.3333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,684.0260696411133,427.10434913635254,619.375,449.64285714285717,466.60714285714283,392.67857142857144,305.53571428571433,113.92857142857142
90,90,1500.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,690.7107009887695,426.4055404663086,615.0446428571429,453.0357142857143,460.08928571428567,398.48214285714283,309.91071428571433,109.10714285714285
91,91,1516.6666666666663,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,659.559211730957,448.4691753387451,610.7142857142858,456.42857142857144,453.57142857142856,404.2857142857143,314.28571428571433,104.28571428571428
92,92,1533.3333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,653.6896286010742,473.7285270690918,606.9387755102041,455.71428571428567,452.9591836734694,401.83673469387753,307.95918367346945,107.75510204081631
